arm,model,exam,battery,runs,valid,scored,dnf,denominator,mean_total,mean_pct,min,max
serena,claude-fable-5,MultiTurnExam,memos-hard,5,5,5,0,20,19.00,95.0,19,19
serena,claude-fable-5,ZeroShotExam,memos,15,5,5,10,30,29.80,99.3,29,30
serena,claude-fable-5,ZeroShotExam,memos-hard,5,4,4,1,20,18.00,90.0,17,19
serena,claude-haiku-4-5,MultiTurnExam,memos,9,9,9,0,30,27.67,92.2,23,30
serena,claude-haiku-4-5,MultiTurnExam,memos-hard,9,9,9,0,20,16.44,82.2,15,18
serena,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,26.50,88.3,23,29
serena,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,12.10,60.5,10,16
serena,claude-opus-4-6,HumanExam,memos,10,10,10,0,30,29.10,97.0,27,30
serena,claude-opus-4-6,HumanExam,memos-hard,10,10,10,0,20,16.20,81.0,14,18
serena,claude-opus-4-6,MultiTurnExam,memos,10,10,10,0,30,29.10,97.0,27,30
serena,claude-opus-4-6,MultiTurnExam,memos-hard,10,10,10,0,20,16.50,82.5,15,18
serena,claude-opus-4-6,ZeroShotExam,memos,10,10,10,0,30,28.20,94.0,27,29
serena,claude-opus-4-6,ZeroShotExam,memos-hard,10,10,10,0,20,17.30,86.5,16,19
serena,claude-opus-4-8,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
serena,claude-opus-4-8,MultiTurnExam,memos-hard,10,10,10,0,20,17.70,88.5,16,19
serena,claude-opus-4-8,ZeroShotExam,memos,10,0,0,10,30,,,,0
serena,claude-opus-4-8,ZeroShotExam,memos-hard,20,10,10,10,20,15.40,77.0,13,17
serena,claude-opus-5,HumanExam,memos,10,10,10,0,30,30.00,100.0,30,30
serena,claude-opus-5,HumanExam,memos-hard,10,10,10,0,20,18.80,94.0,18,20
serena,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,29.90,99.7,29,30
serena,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,18.20,91.0,17,19
serena,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,29.70,99.0,29,30
serena,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,19.30,96.5,19,20
serena,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.90,99.7,29,30
serena,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,17.70,88.5,16,19
serena,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,27.70,92.3,26,29
serena,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,14.70,73.5,12,18
ta-ask-fz-009,claude-fable-5,HumanExam,memos,6,6,6,0,30,29.83,99.4,29,30
ta-ask-fz-009,claude-fable-5,MultiTurnExam,memos,5,5,5,0,30,30.00,100.0,30,30
ta-ask-fz-009,claude-fable-5,ZeroShotExam,memos,11,6,6,5,30,30.00,100.0,30,30
ta-ask-fz-009,claude-fable-5,ZeroShotExam,memos-hard,1,0,0,1,20,,,,0
ta-ask-fz-009,claude-haiku-4-5,HumanExam,memos,14,10,10,4,30,24.60,82.0,22,26
ta-ask-fz-009,claude-haiku-4-5,HumanExam,memos-hard,11,10,10,1,20,10.00,50.0,7,13
ta-ask-fz-009,claude-haiku-4-5,MultiTurnExam,memos,10,10,10,0,30,28.90,96.3,27,30
ta-ask-fz-009,claude-haiku-4-5,MultiTurnExam,memos-hard,10,9,9,1,20,16.56,82.8,14,19
ta-ask-fz-009,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,28.70,95.7,27,30
ta-ask-fz-009,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,17.00,85.0,13,19
ta-ask-fz-009,claude-opus-4-6,HumanExam,memos,10,10,10,0,30,29.30,97.7,28,30
ta-ask-fz-009,claude-opus-4-6,HumanExam,memos-hard,10,10,10,0,20,17.00,85.0,14,19
ta-ask-fz-009,claude-opus-4-6,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
ta-ask-fz-009,claude-opus-4-6,MultiTurnExam,memos-hard,10,10,10,0,20,18.50,92.5,17,20
ta-ask-fz-009,claude-opus-4-6,ZeroShotExam,memos,10,10,10,0,30,29.30,97.7,28,30
ta-ask-fz-009,claude-opus-4-6,ZeroShotExam,memos-hard,10,10,10,0,20,17.80,89.0,16,19
ta-ask-fz-009,claude-opus-4-8,HumanExam,memos,11,10,10,1,30,28.90,96.3,28,30
ta-ask-fz-009,claude-opus-4-8,HumanExam,memos-hard,15,10,10,5,20,14.90,74.5,11,19
ta-ask-fz-009,claude-opus-4-8,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,28,30
ta-ask-fz-009,claude-opus-4-8,MultiTurnExam,memos-hard,10,10,10,0,20,18.40,92.0,17,20
ta-ask-fz-009,claude-opus-4-8,ZeroShotExam,memos,10,10,10,0,30,29.60,98.7,29,30
ta-ask-fz-009,claude-opus-4-8,ZeroShotExam,memos-hard,10,10,10,0,20,18.10,90.5,16,19
ta-ask-fz-009,claude-opus-5,HumanExam,memos,11,10,10,1,30,30.00,100.0,30,30
ta-ask-fz-009,claude-opus-5,HumanExam,memos-hard,10,10,10,0,20,19.70,98.5,19,20
ta-ask-fz-009,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,29.90,99.7,29,30
ta-ask-fz-009,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,19.80,99.0,19,20
ta-ask-fz-009,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,29.90,99.7,29,30
ta-ask-fz-009,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,19.40,97.0,19,20
ta-ask-fz-009,claude-sonnet-5,HumanExam,memos,10,10,10,0,30,28.80,96.0,27,30
ta-ask-fz-009,claude-sonnet-5,HumanExam,memos-hard,10,10,10,0,20,17.30,86.5,16,19
ta-ask-fz-009,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,29,30
ta-ask-fz-009,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,19.40,97.0,19,20
ta-ask-fz-009,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,29.80,99.3,29,30
ta-ask-fz-009,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,18.40,92.0,16,20
ta-ask-fz-009,gpt-5.6-luna,HumanExam,memos,10,10,10,0,30,28.20,94.0,27,30
ta-ask-fz-009,gpt-5.6-luna,HumanExam,memos-hard,10,10,10,0,20,13.30,66.5,11,15
ta-ask-fz-009,gpt-5.6-luna,MultiTurnExam,memos,10,10,10,0,30,29.10,97.0,27,30
ta-ask-fz-009,gpt-5.6-luna,MultiTurnExam,memos-hard,10,10,10,0,20,16.30,81.5,14,17
ta-ask-fz-009,gpt-5.6-luna,ZeroShotExam,memos,10,10,10,0,30,28.60,95.3,27,30
ta-ask-fz-009,gpt-5.6-luna,ZeroShotExam,memos-hard,10,10,10,0,20,15.40,77.0,14,17
ta-ask-fz-009,gpt-5.6-sol,HumanExam,memos,10,10,10,0,30,29.80,99.3,29,30
ta-ask-fz-009,gpt-5.6-sol,HumanExam,memos-hard,10,10,10,0,20,16.30,81.5,15,18
ta-ask-fz-009,gpt-5.6-sol,MultiTurnExam,memos,10,10,10,0,30,29.90,99.7,29,30
ta-ask-fz-009,gpt-5.6-sol,MultiTurnExam,memos-hard,10,10,10,0,20,16.90,84.5,15,18
ta-ask-fz-009,gpt-5.6-sol,ZeroShotExam,memos,10,10,10,0,30,29.60,98.7,29,30
ta-ask-fz-009,gpt-5.6-sol,ZeroShotExam,memos-hard,10,10,10,0,20,15.70,78.5,14,17
ta-ask-fz-009,gpt-5.6-terra,HumanExam,memos,10,10,10,0,30,29.80,99.3,29,30
ta-ask-fz-009,gpt-5.6-terra,HumanExam,memos-hard,10,10,10,0,20,14.60,73.0,12,16
ta-ask-fz-009,gpt-5.6-terra,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
ta-ask-fz-009,gpt-5.6-terra,MultiTurnExam,memos-hard,10,10,10,0,20,16.90,84.5,15,19
ta-ask-fz-009,gpt-5.6-terra,ZeroShotExam,memos,10,10,10,0,30,28.40,94.7,28,30
ta-ask-fz-009,gpt-5.6-terra,ZeroShotExam,memos-hard,10,10,10,0,20,15.90,79.5,14,18
